unit,direct,rep_mar,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997
THS_T,IN,BE,152506,142288,151868,148014,140065,138658,128946,126188,123668,121765,129708,126882,111659,140196,134138,125486,116603,108946,103940,104642,106970,110947,102476,110885,100028
THS_T,IN,BG,12073,12535,14770,13047,14184,13115,12622,12299,12503,12722,13036,11847,11797,16791,15853,16250,14293,13614,12696,11600,11927,: ,: ,: ,: 
THS_T,IN,CY,5170,5375,5591,5021,5389,6566,6433,4707,4689,5000,5482,6048,5821,6726,6323,6292,6034,5573,5665,5619,: ,: ,: ,: ,: 
THS_T,IN,DE,170097,160943,177467,178451,179183,175225,173401,178446,174657,179109,180287,169946,160585,196722,192027,182246,172257,168490,159202,153935,156476,152210,143149,144912,140468
THS_T,IN,DK,55638,54831,56090,57053,54650,56345,54627,52993,51331,49712,52631,47772,50516,60749,60828,59682,53545,54568,56908,50418,51678,52876,54429,59153,71644
THS_T,IN,EE,13035,13083,12362,11373,11325,11069,10331,13723,11089,11932,13211,11493,8971,8149,7876,6765,4557,4042,4664,3718,3762,: ,: ,: ,: 
THS_T,IN,EL,96538,97693,106388,102277,97660,94989,91137,91070,86975,85636,78317,76489,79362,89142,97986,94323,88173,92740,94343,88468,73013,75292,67350,66234,59529
THS_T,IN,ES,280725,265333,301231,286209,272134,253791,255213,259691,241358,261212,258033,252937,248760,290021,305697,298636,290236,270035,248833,240621,228636,195211,212995,198032,184943
THS_T,IN,FI,47892,52424,57561,57532,52608,51602,49896,52393,53688,54654,62687,59517,50389,64267,64025,60235,54737,58479,57356,51546,50706,41110,38145,39020,39076
THS_T,IN,FR,187589,183161,203873,206497,206727,196260,196574,200416,204598,208696,222248,217327,216894,249408,248499,250550,243747,240524,237278,232788,231819,238610,227433,234745,222328
THS_T,IN,HR,15078,14782,15174,15858,14611,12708,12484,11206,11272,11869,13268,14289,13325,18587,18651,15505,16152,15563,13397,11605,10897,9315,: ,: ,: 
THS_T,IN,IE,36551,34089,35378,37088,35499,33744,33638,29083,31403,31191,29838,30712,28972,36049,38907,38563,37654,34703,33234,32182,32634,31679,30726,28690,25574
THS_T,IN,IS,2307,2386,5068,5083,5495,5299,4758,: ,: ,: ,: ,: ,: ,: ,: ,4058,3836,3440,3180,3020,3119,3230,3142,2852,: 
THS_T,IN,IT,322326,292749,315005,312199,304245,296042,292505,283991,297638,305757,327326,324457,316889,358752,363372,358108,348235,338374,334819,322824,318414,315155,291430,305675,298110
THS_T,IN,LT,18761,18266,19379,18454,18315,16717,14615,14040,16137,15772,16031,15447,13739,15359,10907,8466,4710,4372,4097,3797,3475,: ,: ,: ,: 
THS_T,IN,LV,9000,8672,8563,8153,6811,6403,6774,8478,7658,8482,7432,5136,4419,6113,7672,6787,4679,3549,3794,3319,2498,: ,: ,: ,: 
THS_T,IN,ME,882,896,1015,1180,883,808,650,708,669,753,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
THS_T,IN,MT,2971,5362,4560,4032,3676,3370,3409,3158,2841,3084,3121,3602,3205,3189,3077,3347,3321,3027,2976,2900,: ,: ,: ,: ,: 
THS_T,IN,NL,392879,365322,411611,407509,401327,398284,406668,396812,387095,385935,387082,386335,342767,396728,377125,358912,350952,339510,318489,318088,317330,315850,304167,320015,313210
THS_T,IN,NO,61879,58630,62514,66938,61355,59333,62347,63459,65631,62083,60315,58975,55833,60563,63914,62229,65688,64918,62769,65421,: ,: ,: ,: ,: 
THS_T,IN,PL,62364,54561,62984,60612,48759,40954,39834,38973,34991,34544,33573,28575,22984,28067,26124,19906,16420,16522,15171,14943,14684,: ,: ,: ,: 
THS_T,IN,PT,49993,47320,52825,55524,56680,53824,50841,46314,45292,41380,43025,42879,41912,43635,47055,46886,47473,43135,42794,42758,43779,43820,45409,43431,40685
THS_T,IN,RO,25661,23459,26366,24148,21335,20556,19579,18404,16812,18321,18175,16941,16407,29601,28634,24559,25101,22371,18658,15412,14546,: ,: ,: ,: 
THS_T,IN,SE,90811,92061,94060,99418,93985,93137,92143,90934,86707,91613,95408,96478,84721,100780,97106,94569,95780,90552,88583,84105,82885,86824,83350,85154,79006
THS_T,IN,SI,14535,12474,15615,16390,15525,14074,13175,12184,11622,11670,11589,10341,9174,11816,11175,10594,9043,8792,7709,6683,6684,: ,: ,: ,: 
