unit,rep_mar,nst07\time,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008
THS_T,BE,GT01,4873,4044,4352,4433,4965,4535,4421,5230,5061,6129,5450,4754,4520,4850
THS_T,BE,GT02,13611,17205,18940,14101,11255,9953,11528,14515,12787,15439,17212,18023,16731,17797
THS_T,BE,GT03,13416,12269,13701,14407,14626,14284,13732,14881,13852,13710,14901,15751,12012,20268
THS_T,BE,GT04,3460,2870,2777,3008,3059,3367,3014,2783,2762,3364,2997,3104,3575,4145
THS_T,BE,GT05,: ,: ,1,1,: ,: ,: ,: ,0,: ,: ,: ,: ,: 
THS_T,BE,GT06,2462,2690,2830,2918,3181,2975,3316,2867,3325,3605,2664,2440,2597,3496
THS_T,BE,GT07,60363,55468,56698,59427,58245,57812,53057,48119,45679,34471,34522,27440,27481,30067
THS_T,BE,GT08,20204,19149,20542,19894,17633,16692,17389,16679,16839,15973,17586,17270,13201,14471
THS_T,BE,GT09,2578,1476,1633,1469,1483,1152,1590,1235,1410,938,911,941,930,1002
THS_T,BE,GT10,16202,11745,13544,15798,15113,14980,12795,12233,11399,12157,13849,12017,9911,15278
THS_T,BE,GT11,448,296,335,334,252,233,188,49,52,61,130,225,151,220
THS_T,BE,GT12,7273,4796,6071,5852,5777,5474,5591,5470,5862,6238,6182,6216,5040,7721
THS_T,BE,GT13,228,178,165,161,334,481,197,58,160,209,178,137,130,218
THS_T,BE,GT14,25,54,11,43,17,91,12,3,9,27,3,10,6,21
THS_T,BE,GT15,:,:,:,:,:,:,:,:,:,:,:,:,:,:
THS_T,BE,GT16,:,:,:,:,:,:,:,:,:,:,:,:,:,:
THS_T,BE,GT17,8,39,44,39,8,2,3,2,3,5,13,29,30,22
THS_T,BE,GT18,1039,1106,1262,636,1140,735,489,610,680,224,817,809,725,793
THS_T,BE,GT19,139700,132936,132321,124991,117971,117590,111400,110562,105613,108845,112557,117185,103721,118714
THS_T,BE,GT20,2936,2354,2554,2701,2770,2668,2459,2062,1387,1097,945,2,1204,2192
THS_T,BG,GT01,6507,5912,7094,5737,5948,6076,4769,5483,13901,14403,13631,12529,12129,2129
THS_T,BG,GT02,5023,5440,7652,6471,7485,6688,2770,4911,: ,: ,: ,: ,: ,11076
THS_T,BG,GT03,2557,2455,2509,2759,3060,2432,2836,2767,: ,28,: ,297,914,2015
THS_T,BG,GT04,597,540,598,443,442,287,270,207,: ,: ,: ,: ,: ,453
THS_T,BG,GT05,: ,: ,0,: ,0,: ,: ,: ,: ,: ,: ,: ,: ,: 
THS_T,BG,GT06,164,87,107,70,104,103,203,436,: ,: ,: ,: ,: ,61
THS_T,BG,GT07,2814,3340,5003,4275,5827,5678,9458,6501,: ,: ,: ,: ,: ,4339
THS_T,BG,GT08,3167,2715,3016,2655,2864,2502,2597,2357,3003,2921,3049,2530,1981,2034
THS_T,BG,GT09,300,229,237,513,759,735,515,336,36,57,32,58,50,228
THS_T,BG,GT10,1284,1361,1481,1847,1429,1487,1134,1535,1158,937,1144,791,856,1742
THS_T,BG,GT11,2,7,5,6,13,7,12,13,19,21,30,102,39,28
THS_T,BG,GT12,1,6,3,3,0,4,25,12,0,0,0,0,0,0
THS_T,BG,GT13,: ,: ,0,: ,: ,: ,: ,: ,: ,: ,: ,: ,: ,: 
THS_T,BG,GT14,490,426,411,409,367,250,219,322,: ,: ,: ,: ,: ,318
THS_T,BE,GT15,:,:,:,:,:,:,:,:,:,:,:,:,:,:
THS_T,BG,GT16,1,2,1,1,1,0,1,0,: ,: ,: ,: ,: ,0
THS_T,BG,GT17,: ,0,: ,: ,: ,: ,0,0,: ,: ,: ,: ,: ,:
THS_T,BE,GT18,:,:,:,:,:,:,:,:,:,:,:,:,:,:
THS_T,BG,GT19,2621,2607,2778,2581,2473,2282,2246,2116,: ,: ,: ,: ,: ,: 
THS_T,BG,GT20,46,129,105,98,180,154,112,238,10724,7646,7300,6639,5924,2153
THS_T,CY,GT01,568,541,524,491,255,511,491,554,464,463,538,531,623,613
THS_T,CY,GT02,65,24,34,22,131,215,221,181,621,: ,: ,18,29,: 
THS_T,CY,GT03,674,644,570,618,606,637,433,327,278,317,341,361,407,563
THS_T,CY,GT04,198,219,258,205,113,217,206,184,169,196,225,257,217,303
THS_T,CY,GT05,0,0,0,0,0,0,0,0,0,0,0,0,1,2
THS_T,CY,GT06,6,12,17,16,9,20,16,17,20,30,53,74,79,102
THS_T,CY,GT07,1945,1934,2085,1566,2286,3583,2356,2320,2331,2626,2701,2960,2732,2780
THS_T,CY,GT08,65,35,36,31,23,32,33,42,43,46,46,54,53,52
